prod_xprod,rotulo_cliente,rotulo_ia
"VACA PARA ABATE - 7,067.000",1,1
PINTINHO,1,1
PINTINHO,1,1
VACA P/ABATE - 21.00,1,1
"GADO EQUINO VIVO - FEMEA QUARTO DE MILHA, NOME: CAPITAL NCONF SAN, REGISTRO: P086207",1,1
FEMEA PARA ABATE 24 A 36 M - 237.570,1,1
1 MINI OSCAR PINTO EROTICO DOURADO / DESPEDIDA DE SOLTEIRA,1,95
VACA P/ABATE - 51.00,1,1
"SEMPRE RAIA UM NOVO DIA RAIA &AMP HERMANN, CLAUDIA &A",1,49
PINTINHO SKV0015,1,1
PINTINHO QUIQUIRIQUI,1,1
O PINTINHO ADOTIVO,1,1
VACA PARA ABATE - 158.800,1,1
PA150042 KIT DIA A DIA C/3 ITENS CEREJA,1,33
BOVINO F PARA ABATE +36M ( 41 VOL),1,1
PINTINHO AMARELINHO,1,1
BIOGELIS VOLUMAX,10,30
"FOLHA DE ARROZ QUADRADA GW 300G CX 36UN;BC ICMS ST: 86,73 ICMS ST: 4,59",10,19
FIBRA TRIGO W-75,10,10
VIKING 7KG,10,
SUPLEMENTO MINERAL - (25KG),10,23
B+ RG O CV VIES RIB R1217 G BRANCO,10,60
PANAQUE AMBRUSTERI L027,10,3
POLYBLEM MILHO PLANT NO-TOP 32-11-00 (PARCIAL) (BG 1000 KG),10,31
SS M 6410 TRAT C/ SK (CAMISC) (SC),10,84
TUPCX PB ARROZ 2KG +FEIJ+SAL G,10,21
PLATAF. MILHO MAESTRA 13X45,10,84
FECHAMENTO MILHO MF34,10,73
FIBRA DE TRIGO FINA KG,10,10
PENDAO MILHO ROSA,10,10
CATTLEYAS DIVERSAS COD. A,10,6
SAIDA MATERNIDADE TRICOT PONTO ARROZ VERMELHO 02 PECAS,10,61
KIT ESSENCIAIS CERVEJEIRO - COMBO CEVADA,10,10
PLATAF DE MILHO 6 LINHA JJC0240407,10,84
MATUTO INSULINIUM 90G,10,30
MILHO 3D FESTA JUNINA 35CM,10,95
PAPEL ARROZ,10,48
STE ODILE INSTAGRAM - HOCANM12857745,10,
MILHO COM CORDA 1 UNID,10,95
T10559 EM SINTETICO MRK INDIGO/NESCAU/NB QUINOA,10,64
POINSENTIA 28CM - FL2389,10,6
PC CHIPART TIO BLACK CHP0120,10,84
CARVAO CAPAO BONITO 6K,10,27
FLOR C/PETA PON,10,6
KIT 4 TELAS MILHETO,10,73
PAPEL ARROZ 3 KG,10,19
AMARANTO 33,10,10
FEIJO CARIOCA GUACIRA 1KG,10,7
AMOSTRA HUMIDICOLA,10,10
DIE FOR YOU - EXPERIMENTAL TAMANHO::G,10,49
MILHO DE BISCUIT MINIATURA 10 UNIDADES - APLIQUE FESTA JUNINA BISCUIT,10,96
KIT MILHO VSET,10,84
PLACA 20A12 VIP3,10,85
"LATA GRAOS, PR100",10,73
231.AC.41002  231155004  PONCHO,10,61
LAVANYA ROSEMARY CX0.5KG,10,12
BRIQFENO,10,
GNB POP UP ROMA COMPOTAS,10,20
B2620 (SCE2620) SNZ ROLT 1,10,84
BOCA MILHO REX,10,84
SUPLEMENTO MINERAL BELLPESO SVSC,10,23
CATTLEYAS DIVERSAS COD. D,10,6
EMBALAGEM ARROZ GUACIRA 1KG T1 PARBOILIZADO,10,10
