prod_xprod,rotulo_cliente,rotulo_ia
KIT ESSENCIAIS CERVEJEIRO COMBO CEVADA,10,10
COROA PINHAO,8,87
PRTO BM,8,8
COMPLEMENTO DE PRECO REF NFE,8,49
EMBALAGEM ARROZ GUACIRA PARBOILIZADO,10,10
CAP AMERICA MASCULINA ADULTA AZUL,15,61
INTERF JULLY EXTRA BELL,3,0
BUFFET MODELLO HG BCOCZA,3,94
BALISSIMA LEITE GR,4,4
CLICH VÓ ERMÍNIA,4,84
PRO HF,7,38
ESPETO BOVINO,2,2
ET AD BOPP CARREFOUR SELECTION RESF MAMINHA,2,2
RESER DEFLETO AR OV,2,87
MUND HP,2,0
BANDEJA PARA OVOS NEW BONE MONTANA BRAN,4,69
LISTRADA MANGA,8,61
JG CASTANHA DURA,8,8
CAFE TANGERINN BIBLIOTECA AZUL,9,9
AT IPE ROXO,12,44
OURO BRANCO DESCONTO,2,18
RECORTE BORBOLETA PRIMAVERA,2,49
ESSENCIA MACA VERDE ESTOQUE,8,33
VENENO DA MADRUGADA MA HORA,9,49
CAPSULAS NESPRESSO ROSE GOLD,9,73
NINHO MADPERIQUITO HZ IND,4,44
AORTA,2,2
BELSPAN COMPOSTO GOTAS,4,30
TENENTE MADRUGUEIRO OE,12,12
VINORELBINA EUROFARMA VALOR TOTAL DOS PRODUTOS SEM ISENCAO DO,12,30
OL ESS LIMAO SILICIANO,15,15
GLICERINA LIQUIDA ML,15,15
SAL DE PARRILLA PIMENTA ALHO CANTA GALLO NETAO CANTA GALLO UN,7,25
FECHAMENTO MILHO,10,73
IPE ROXO MTS,12,44
GRAFITE EM PO CONCENTRADO SEMENTES,12,38
AMOTECEDOR TRASEIRO SP LOUNGE,2,87
FORMULA OLI OLA MGCAP GELAT BRBR UN,7,30
REG RECORTADA GOIABA,8,8
MELAM IMPORT FRUTEIRA,8,39
DESCARTE DE CASCA DE ARROZ,10,10
FIBRA DE TRIGO ZAELI FD,11,11
KIT NORI,12,0
UXI MADEIRA SERRADA CAIBRO,12,44
JACARE LOTE FAB VAL,2,
CORACAO FILHOTE,2,2
BARRIGA,2,2
POLVO PEL,3,95
DBR REG GOPN CP BRRDF JI NORTE,4,4
NINHO HORA DE DORMIR,4,4
JOGO DE LENCOL COM PECAS GATINHOS ROSA IOGURTE,4,63
HOSPITALAR XX,8,90
SUPLEMENTO MINERAL,10,23
CORTES,2,2
ARTE DE MEL BROOKS,4,49
BALANCA TOMATE,7,84
PINHA DE NATAL AG,8,95
CHA CORACOES,9,48
KIT FLOR SECA,12,12
LINGUA DO BRASIL AMANHA OUTROS MISTERIOS,2,49
PEIXE PALHACO AU PET,3,3
ROTULO ABACAXI HORTELA,8,48
RF LARANJA,8,8
PO AUSTRALIANO,12,19
OLEO ESSENCIAL DE CRAVO FOLHAS HERBIA LOTE VAL,15,33
ETIQUETA COXA SOBREC FGO OC,2,48
PALETA SOUZA MEDIA,2,44
KIT ESCOVA MANTEIGA DE COCO ML,4,33
TRIANGULO RECOSTE BEM DUOFLEX,4,94
NINHO TRINCA FERRO SAMAMBAIA,4,44
CANTUS FR GRS ORIGEM,7,
EXTRATO DE AGRIAO MATERIA PRIMA,7,7
PENCA OXAGUIAN ZAMAKI,8,97
MANGA ONE PIECE,8,49
SANSAO JL MARIA IVONE MOREIRA BRAGA OLE RENDEIRAS,12,49
REFRIG CONTINENTAL,2,84
CAM ML PECEGO CLARA TALIENK,3,61
OVO TIPO CARTELA COM UNIDADES SAO GABRIEL,4,4
CATUNI SECO,7,7
TIPAGEM SANGUINEA SOROS ANTI,8,30
LARANJA,8,8
GOPRO MANGA CORDAO PRETO PRETO PRETO ACESSORIO OFICIAL GOPRO,8,85
GADO EQUINO VIVO FEMEA QUARTO DE MILHA NOME CAPITAL NCONF SAN REGISTRO,1,1
MICROLOTE POMAR DA SERRA EDICAO FRUTADO EM GRAOS,12,9
BANDEJA DR,15,44
ANGUS,2,2
SUPLEMENTO GRANELEIRO COM ARCOS TOMBADOR TRASEIRO,2,87
FLOR DE SAL,4,25
VACA PO REGISTRADA,4,4
CP DANUBIO COTTAGE GELDAMAS,4,4
ENERMAXHF KG,7,38
MAEJIMA TOROROKOMBU,8,12
PINHAO RE EATON,8,84
BK FLAVOR CAFE,9,33
TOCA NATURAL PORQUINHO DA INDIA GOLDEN,12,39
ONTERRUPTOR TRASEIRO,2,85
NELORE PINTADO PO PQS MACHO,3,1
BLA LARANJA,4,
SAQUINHO DE BATATA BK UND,7,48
EST KIWI,8,8
MOCACCINO,8,21
TAMPA CARNE MOIDA TERMOFORMADA ALLEZA,2,39
POLVO NORMAL,3,3
EMBAUBA IMBAUBA BRANCA CECROPIA PACHYSTACHYA LOTE CPASN,4,6
JG GUARN MEL NIAGARA OAK PC PORTAX FORNECEDOR LOTE QTDE,4,44
UN PLANTA AQUATICA ALFACE DAGUA PISTIA STRATIOTES AQUARIO,7,7
CARA BDJ EMB HORTIFRUTI UN,8,8
MANGA MY HERO ACADEMIA NOVOLACRADO,8,49
BRIQFENO,10,
FAZENDA SITIO SOALHEIRO ED OUTUBRO QUANTIDADEGRAO OU MOIDOGRAO,10,9
PEPPER BALL PLUS PIKASSO COM UN PEPPER BLEND,15,93
DR,15,
OLEO VEGETAL DE ABACATE JARDIM EXOTICO PRENSADO FRIO EXTRA VIRGEM ML,15,15
LIMONENO PURO OLEO DA CASCA DE CITRICOS,15,33
KIT OSSOS FRANGO OSSO FRANGO,2,95
TOTAL VIRGEM BISNAGA,4,33
BOI SEM COBERTURA,12,2
ADESIVO BOPP METALIZADO LAMINADO ORGANICO CONGELADO COXAO MOLE KORIN,2,39
MEL ART,4,4
FORMULA INF NOVAMIL RICE,4,4
CHALE LISO COM MANGA VERMELHO,8,61
CAMOMILA,9,9
FIGUEIRA,8,8
ESPRESSO,9,9
CHA AROMA SAL AMONIACO GR,9,9
BARRIGADA BOVINA,2,2
ASA DIREITA CPLT,2,88
EXT MTS TOM TRIPL PRETA,7,85
LEAO CHA VIT LARCE,9,9
ABOMASO BOVINO COALHO,2,2
SANGRIA,2,22
PETISCO NATURAL PE DE FRANGO NATURAL FARM,2,2
CHATAO CORACAO,2,
MANGA LONGA LACINHOS,8,61
PATY PREMIUM ROSA AO,12,12
OLEO FLORATA DE BERGAMOTA,15,15
