prod_xprod,rotulo_cliente,rotulo_ia
AA,42,10
AAA,49,8
AAA COM,49,8
AAA COMUM,90,3
AAA PACOTE,6,8
AAAA,6,7
AAFRAO PACOTE,10,7
AAN CLARITA,22,8
AASA LEVE LE,90,3
AB,85,8
AB BANDEJA UNID,71,7
AB BDJ,71,7
AB BRASIL AAA,71,7
AB GOLDEN SECRET QUINTOU,71,7
AB PAULISTA,71,7
AB PO,71,7
AB PTE,71,7
ABACATE DIVERTIDO CM,39,7
ABACAXI DECOR,71,7
ABACAXI PRETO DOURADO,71,7
ABATE,20,7
ABENÇOADA LARANJA,71,7
ABIL,71,7
ABIL AMARELO,71,7
ABIL EM,71,7
ABIL ROXO,71,7
ABIL SC,71,7
ABIL TICUNA,71,7
ABOBORA SENTADA HALL,71,7
ABRANCO,49,7
ABRE DE LA VIE,19,8
AC BUCHO,9,7
AC LARANJA,71,7
AC MS TRES LAGOASSAO MIGUEL REGIANE MOD TAM ESPECIAL DISPONIBILIDADE,73,7
AC MS TRES LAGOASSAO MIGUEL REGIANE MOD TRADICIONAL DISPONIBILIDADE DI,73,12
AC MS TRES LAGOASSAO MIGUEL REGIANE MOD TRADICIONAL PP DISPONIBILIDADE,20,7
AC OP,9,7
AC PNMELANCIA,73,12
AC REF ALTO ALEGRE,3,7
AC VERDE LIMAO,20,7
ACACIA ML,9,7
ACESSORIOS VIENA TOMILHO,85,8
ACH TIA ASA MORC,39,8
ACOUGUE,39,8
ACRESCIMO INGREDIENTES,69,8
ACSMLO OVOO MGSOB LM BR VAR,64,8
ACTIVIA PRECIFICADOR SBD,39,8
ACULOS ARUANA,49,1
ADATOY WK MX GRAYTOMATO,95,8
ADE CORTE LEITE ML,62,8
ADERSON VIANA MARTINS,6,8
ADIC ARROZ FAKE,6,8
ADICIONAIS POR PORCAO,6,8
ADORE ,61,2
ADORE BUCCANEER,39,8
ADORE PR,61,7
ADVENTO CM LISA ROXO,61,2
ADVENTURE REF CAFE,61,2
ADVENTURE REF MILHOPRETO,61,2
AE FSW,49,4
AEVO,42,8
AF PANTURILHA NATURAL PA,49,2
AFONSO FRANCO,42,8
AFRAO PACOTE,42,8
AGATHA AMEIXA,42,8
AGESENSE LOTE VAL,42,8
AGHATA CRISTIE SILVA DE LIMA,5,2
AGITA,16,3
AGRICULTOR FAMILIAR,48,8
AGRO TOP HIBRIDO BOI,95,2
AGUIA ASA,49,4
AHCUBO PESCOCO,90,3
AHO PORO,30,4
AHX,30,4
AL DR PERGUNTA OSTEOPOROSE DORTO,30,8
ALANDES EL TURCO BLEND,84,7
ALASAD COMP PRODUTOR,7,4
ALBAR ALBBAX OROA PINHAO OV,84,12
ALECRIM CLASS SELF REF,87,2
ALECRIM CPRINT,94,7
ALEO GINSENG CAFEONA,87,2
ALFAZEMA BM,87,2
ALFAZEMA MD,87,2
ALGA RABO,64,8
ALIMENTOS COAMO EXPOSITORES,87,2
ALIMENTOS DONA DEMA,84,7
ALINE ROSA,87,2
ALINE ROSAAZUL,87,2
ALÍQUOTA DO ISS CONFORME LC,87,2
ALLY PCTE GRS ORIGEM,87,2
ALMAH MOTION,87,2
ALONGUETE PUXADINHO LARANJA,87,2
ALPHA II,64,7
ALPINE CAFE,87,2
ALPINIA TR,87,2
ALQUIMISTA DAS ERVAS,87,2
ALTISSIMA OURO,90,4
ALTISSIMA PRATA,90,4
ALTO GRAO COAMO BAGKG,87,2
ALTO GRAO SC,87,2
ALTULIPA,19,15
ALVEJADO,87,2
AM VERM,20,4
AMARELO CAJU,87,2
AMARELO LIMAO,87,2
AMARELO MARACUJA,87,2
AMAZON LINHA EM GRAOS,22,8
AMBRE KAKI,21,15
AMEIXA ML SAINT GERMAIN,87,8
AMERICANA,64,15
AMERICANA PECAS KIT,32,9
AMERICANA SANTA MARIA,21,8
AMERICANO COTTAGE AMARELO,12,7
AMERICANO ESPECIAL INDIANO,33,8
AMERICANO FLORES DO CAMPO,6,12
AMERICANO LIMAO SICILIANO FRESH GARDEN,63,12
AMERICANOS LIMAO SICILIANO DUPLA FACE,90,4
AMIGA ROSEIRA,64,3
AMIGOS DO PEITO,38,10
AMIGOS DO PEITO FORMATO,85,10
AMINDUS SEM SAL,62,8
AMOR COMPARTILHADO LARANJA,64,9
AMOR DE MINAS,49,12
AMOR INTEIRO PARA MEIOIRMAO BOI VOADOR,23,9
AMORA ANIMAL PRINT,23,12
AMORA RAPUNZEL,6,8
AMORA TIKTOK,6,8
AMORA UNICORNIO,6,8
AMOSTRA ARMGEDOM MACA VERDE,23,9
AMOSTRA AVNCADA SEM VALOR COMERCIAL,23,9
AMOSTRA DE CONTRAPROVA SEM VALOR COMERCIAL,23,9
AMOSTRA DR REFORCADO SE,63,2
AMOSTRA FIBRATTO INTEGRAL,0,2
AMOSTRA IAC,32,8
AMOSTRA INGREDIENTE,96,8
AMOSTRA LARANJA,68,8
