prod_xprod,rotulo_cliente,rotulo_ia,capitulo_correto,explicacao
"VACA PARA ABATE - 7,067.000",1,1.0,01,IA: Vaca para abate é animal vivo.
PINTINHO,1,1.0,INCONCLUSIVO,CLIENTE | Produto muito genérico
PINTINHO,1,1.0,INCONCLUSIVO,<CLIENTE | IA | INCONCLUSIVO>: Produto muito genérico
VACA P/ABATE - 21.00,1,1.0,01,IA: Animal vivo para abate
"GADO EQUINO VIVO - FEMEA QUARTO DE MILHA, NOME: CAPITAL NCONF SAN, REGISTRO: P086207",1,1.0,01,IA: Gado equino vivo se encaixa na categoria de animais vivos.
FEMEA PARA ABATE 24 A 36 M - 237.570,1,1.0,01,IA: Femea para abate é animal vivo.
1 MINI OSCAR PINTO EROTICO DOURADO / DESPEDIDA DE SOLTEIRA,1,95.0,95.0,IA: Produto de natureza lúdica e erótica.
VACA P/ABATE - 51.00,1,1.0,01,IA: Animal vivo para abate
"SEMPRE RAIA UM NOVO DIA RAIA &AMP HERMANN, CLAUDIA &A",1,49.0,49,IA: Produto cultural
PINTINHO SKV0015,1,1.0,34,IA | Produto de limpeza
PINTINHO QUIQUIRIQUI,1,1.0,1,IA: Produto se encaixa na descrição de animais vivos.
O PINTINHO ADOTIVO,1,1.0,1,IA: Produto vivo
VACA PARA ABATE - 158.800,1,1.0,01,IA: Vaca para abate é animal vivo.
PA150042 KIT DIA A DIA C/3 ITENS CEREJA,1,33.0,33.0,IA: Kit de produtos alimentícios
BOVINO F PARA ABATE +36M ( 41 VOL),1,1.0,01,IA: Animal vivo para abate
PINTINHO AMARELINHO,1,1.0,34,IA: Produto de limpeza
BIOGELIS VOLUMAX,10,30.0,30,IA: Produto cosmético
"FOLHA DE ARROZ QUADRADA GW 300G CX 36UN;BC ICMS ST: 86,73 ICMS ST: 4,59",10,19.0,10,CLIENTE: Folha de arroz é cereal.
FIBRA TRIGO W-75,10,10.0,10,IA |  Produto derivado de trigo.
VIKING 7KG,10,,10,CLIENTE: Viking 7kg sugere cereal
SUPLEMENTO MINERAL - (25KG),10,23.0,23.0,IA: Suplemento mineral se enquadra em produtos químicos.
B+ RG O CV VIES RIB R1217 G BRANCO,10,60.0,10,CLIENTE: Descrição indica cereal.
PANAQUE AMBRUSTERI L027,10,3.0,10,CLIENTE: Panaque é um cereal.
POLYBLEM MILHO PLANT NO-TOP 32-11-00 (PARCIAL) (BG 1000 KG),10,31.0,10,CLIENTE: Produto derivado de milho.
SS M 6410 TRAT C/ SK (CAMISC) (SC),10,84.0,62,IA | Produto é vestuário.
TUPCX PB ARROZ 2KG +FEIJ+SAL G,10,21.0,10,"CLIENTE: Contém arroz, cereal."
PLATAF. MILHO MAESTRA 13X45,10,84.0,10,CLIENTE: Plataforma de milho indica produto cereal.
FECHAMENTO MILHO MF34,10,73.0,10,CLIENTE: Fechamento de milho é cereal.
FIBRA DE TRIGO FINA KG,10,10.0,10,IA | CLIENTE: Fibra de trigo é derivado de cereal
PENDAO MILHO ROSA,10,10.0,10,IA | Pendão de milho é cereal.
CATTLEYAS DIVERSAS COD. A,10,6.0,06,"IA: Cattleyas são flores, classificadas em capítulo 6."
SAIDA MATERNIDADE TRICOT PONTO ARROZ VERMELHO 02 PECAS,10,61.0,61,IA: Produto de vestuário
KIT ESSENCIAIS CERVEJEIRO - COMBO CEVADA,10,10.0,10,IA | O produto contém cevada.
PLATAF DE MILHO 6 LINHA JJC0240407,10,84.0,10,CLIENTE: Plataforma de milho é cereal.
MATUTO INSULINIUM 90G,10,30.0,10,CLIENTE: Produto alimentar.
MILHO 3D FESTA JUNINA 35CM,10,95.0,95,"IA: Produto decorativo, não alimentício"
PAPEL ARROZ,10,48.0,48,IA: Papel arroz é produto de papel
STE ODILE INSTAGRAM - HOCANM12857745,10,,10,CLIENTE: Produto se encaixa na descrição de cereais.
MILHO COM CORDA 1 UNID,10,95.0,10,CLIENTE: Milho é cereal.
T10559 EM SINTETICO MRK INDIGO/NESCAU/NB QUINOA,10,64.0,10,CLIENTE: Produto contém cereais.
POINSENTIA 28CM - FL2389,10,6.0,10,CLIENTE: Produto se encaixa na descrição de cereais.
PC CHIPART TIO BLACK CHP0120,10,84.0,84.0,IA: PC é um dispositivo eletrônico.
CARVAO CAPAO BONITO 6K,10,27.0,27,IA: Carvão é classificado no capítulo 27
FLOR C/PETA PON,10,6.0,10,CLIENTE: Flor com peta indica produto vegetal.
KIT 4 TELAS MILHETO,10,73.0,10,CLIENTE: Produto derivado de cereal.
PAPEL ARROZ 3 KG,10,19.0,48,IA | Papel é classificado no capítulo 48
AMARANTO 33,10,10.0,10,IA | O amaranto é um cereal.
FEIJO CARIOCA GUACIRA 1KG,10,7.0,10,CLIENTE: Feijão é um cereal.
AMOSTRA HUMIDICOLA,10,10.0,10,IA | A descrição indica produto agrícola
DIE FOR YOU - EXPERIMENTAL TAMANHO::G,10,49.0,49.0,IA: Produto vestuário
MILHO DE BISCUIT MINIATURA 10 UNIDADES - APLIQUE FESTA JUNINA BISCUIT,10,96.0,10,CLIENTE: Milho é cereal.
KIT MILHO VSET,10,84.0,10,CLIENTE: Kit contém cereal.
PLACA 20A12 VIP3,10,85.0,85,IA: Placa indica componente eletrônico
"LATA GRAOS, PR100",10,73.0,10,CLIENTE: lata de grãos indica cereal
231.AC.41002  231155004  PONCHO,10,61.0,61.0,IA: Poncho é vestuário.
LAVANYA ROSEMARY CX0.5KG,10,12.0,12.0,IA: Produto de higiene pessoal
BRIQFENO,10,,10,CLIENTE: Briqfeno é um cereal.
GNB POP UP ROMA COMPOTAS,10,20.0,20,IA: Compotas são produtos alimentícios
B2620 (SCE2620) SNZ ROLT 1,10,84.0,84.0,IA: Produto parece ser uma ferramenta.
BOCA MILHO REX,10,84.0,10,CLIENTE: Boca de milho é cereal.
SUPLEMENTO MINERAL BELLPESO SVSC,10,23.0,23.0,IA: Suplemento mineral é classificado como produto químico.
CATTLEYAS DIVERSAS COD. D,10,6.0,06,IA: Flores são classificadas no capítulo 6.
